"","blank","month","Plant_sp","Virus","Genotype","Biotype","Rep","Counts","Dead_in_rep","Fresh.Weight","Proportion_50","Proportion_living","Plant"
"1",NA,"Feb","Alfalfa","BLRV",5,"Pea",1,2,2,13.9,0.04,0.042,"Alfalfa"
"2",NA,"Feb","Alfalfa","BLRV",2,"Pea",1,2,6,10.3,0.04,0.045,"Alfalfa"
"3",NA,"Feb","Alfalfa","BLRV",5,"Pea",2,2,0,12.7,0.04,0.04,"Alfalfa"
"4",NA,"Feb","Alfalfa","BLRV",2,"Pea",2,4,1,14.1,0.08,0.082,"Alfalfa"
"5",NA,"Feb","Alfalfa","BLRV",5,"Pea",3,1,0,14.5,0.02,0.02,"Alfalfa"
"6",NA,"Feb","Alfalfa","BLRV",2,"Pea",3,5,8,12.8,0.1,0.119,"Alfalfa"
"7",NA,"Feb","Alfalfa","BLRV",2,"Pea",4,1,0,11.1,0.02,0.02,"Alfalfa"
"8",NA,"Feb","Alfalfa","BLRV",5,"Pea",4,4,3,13.9,0.08,0.085,"Alfalfa"
"9",NA,"Feb","Alfalfa","BLRV",2,"Pea",5,4,5,13.2,0.08,0.089,"Alfalfa"
"10",NA,"Feb","Alfalfa","BLRV",5,"Pea",5,3,6,18,0.06,0.068,"Alfalfa"
"11",NA,"Feb","Alfalfa","SHAM",2,"Pea",1,3,7,12.9,0.06,0.07,"Alfalfa"
"12",NA,"Feb","Alfalfa","SHAM",5,"Pea",1,2,3,15.5,0.04,0.043,"Alfalfa"
"13",NA,"Feb","Alfalfa","SHAM",2,"Pea",2,0,2,16.5,0,0,"Alfalfa"
"14",NA,"Feb","Alfalfa","SHAM",5,"Pea",2,0,1,16.1,0,0,"Alfalfa"
"15",NA,"Feb","Alfalfa","SHAM",2,"Pea",3,1,7,26.5,0.02,0.023,"Alfalfa"
"16",NA,"Feb","Alfalfa","SHAM",5,"Pea",3,0,1,20.6,0,0,"Alfalfa"
"17",NA,"Feb","Alfalfa","SHAM",5,"Pea",4,0,4,17.3,0,0,"Alfalfa"
"18",NA,"Feb","Alfalfa","SHAM",2,"Pea",4,0,4,18.5,0,0,"Alfalfa"
"19",NA,"Feb","Alfalfa","SHAM",5,"Pea",5,4,5,18.1,0.08,0.089,"Alfalfa"
"20",NA,"Feb","Alfalfa","SHAM",2,"Pea",5,0,6,26.6,0,0,"Alfalfa"
"21",NA,"March","Alfalfa","BLRV",3,"Alfalfa",1,4,1,12.9,0.08,0.082,"Alfalfa"
"22",NA,"March","Alfalfa","SHAM",5,"Alfalfa",1,2,3,18.6,0.04,0.043,"Alfalfa"
"23",NA,"March","Alfalfa","BLRV",5,"Alfalfa",1,2,4,16.5,0.04,0.043,"Alfalfa"
"24",NA,"March","Alfalfa","SHAM",3,"Alfalfa",1,8,2,18.1,0.16,0.167,"Alfalfa"
"25",NA,"March","Alfalfa","BLRV",3,"Alfalfa",2,11,3,18.6,0.22,0.234,"Alfalfa"
"26",NA,"March","Alfalfa","SHAM",5,"Pea",2,2,5,20.9,0.04,0.044,"Alfalfa"
"27",NA,"March","Alfalfa","SHAM",3,"Alfalfa",2,9,1,16.3,0.18,0.184,"Alfalfa"
"28",NA,"March","Alfalfa","BLRV",5,"Pea",2,2,6,19.8,0.04,0.045,"Alfalfa"
"29",NA,"March","Alfalfa","BLRV",3,"Alfalfa",3,4,4,19.9,0.08,0.087,"Alfalfa"
"30",NA,"March","Alfalfa","SHAM",3,"Alfalfa",3,1,3,25,0.02,0.021,"Alfalfa"
"31",NA,"March","Alfalfa","SHAM",3,"Alfalfa",3,6,5,24.1,0.12,0.133,"Alfalfa"
"32",NA,"March","Alfalfa","BLRV",5,"Pea",3,3,0,28.6,0.06,0.06,"Alfalfa"
"33",NA,"March","Alfalfa","BLRV",5,"Pea",4,2,1,22.6,0.04,0.041,"Alfalfa"
"34",NA,"March","Alfalfa","SHAM",3,"Alfalfa",4,6,3,20.2,0.12,0.128,"Alfalfa"
"35",NA,"March","Alfalfa","SHAM",5,"Pea",4,3,2,23.5,0.06,0.063,"Alfalfa"
"36",NA,"March","Alfalfa","BLRV",3,"Alfalfa",4,7,2,20.5,0.14,0.146,"Alfalfa"
"37",NA,"March","Alfalfa","BLRV",5,"Pea",5,3,3,22,0.06,0.064,"Alfalfa"
"38",NA,"March","Alfalfa","SHAM",3,"Alfalfa",5,13,5,25.1,0.26,0.289,"Alfalfa"
"39",NA,"March","Alfalfa","SHAM",5,"Pea",5,0,4,25.3,0,0,"Alfalfa"
"40",NA,"March","Alfalfa","BLRV",3,"Alfalfa",5,8,5,18.9,0.16,0.178,"Alfalfa"
"41",NA,"Feb","Fava","BLRV",5,"Pea",1,13,2,20.5,0.26,0.271,"Fava"
"42",NA,"Feb","Fava","BLRV",2,"Pea",1,6,6,15.5,0.12,0.136,"Fava"
"43",NA,"Feb","Fava","BLRV",5,"Pea",2,7,0,25.5,0.14,0.14,"Fava"
"44",NA,"Feb","Fava","BLRV",2,"Pea",2,8,1,14.6,0.16,0.163,"Fava"
"45",NA,"Feb","Fava","BLRV",5,"Pea",3,10,0,33.1,0.2,0.2,"Fava"
"46",NA,"Feb","Fava","BLRV",2,"Pea",3,7,8,28.6,0.14,0.167,"Fava"
"47",NA,"Feb","Fava","BLRV",2,"Pea",4,12,0,49.9,0.24,0.24,"Fava"
"48",NA,"Feb","Fava","BLRV",5,"Pea",4,8,3,34.3,0.16,0.17,"Fava"
"49",NA,"Feb","Fava","BLRV",2,"Pea",5,10,5,39.6,0.2,0.222,"Fava"
"50",NA,"Feb","Fava","BLRV",5,"Pea",5,6,6,30.5,0.12,0.136,"Fava"
"51",NA,"Feb","Fava","PEMV",2,"Pea",1,10,5,30,0.2,0.222,"Fava"
"52",NA,"Feb","Fava","PEMV",5,"Pea",1,15,1,17.6,0.3,0.306,"Fava"
"53",NA,"Feb","Fava","PEMV",5,"Pea",2,9,3,24.6,0.18,0.191,"Fava"
"54",NA,"Feb","Fava","PEMV",2,"Pea",2,8,3,39.9,0.16,0.17,"Fava"
"55",NA,"Feb","Fava","PEMV",5,"Pea",3,5,1,30.1,0.1,0.102,"Fava"
"56",NA,"Feb","Fava","PEMV",2,"Pea",3,10,3,37.5,0.2,0.213,"Fava"
"57",NA,"Feb","Fava","PEMV",5,"Pea",4,8,0,35.3,0.16,0.16,"Fava"
"58",NA,"Feb","Fava","PEMV",2,"Pea",4,10,4,32.6,0.2,0.217,"Fava"
"59",NA,"Feb","Fava","PEMV",5,"Pea",5,11,3,35.1,0.22,0.234,"Fava"
"60",NA,"Feb","Fava","PEMV",2,"Pea",5,6,6,45,0.12,0.136,"Fava"
"61",NA,"Feb","Fava","SHAM",2,"Pea",1,14,7,17.9,0.28,0.326,"Fava"
"62",NA,"Feb","Fava","SHAM",5,"Pea",1,8,3,29,0.16,0.17,"Fava"
"63",NA,"Feb","Fava","SHAM",2,"Pea",2,8,2,28.3,0.16,0.167,"Fava"
"64",NA,"Feb","Fava","SHAM",5,"Pea",2,14,1,38.9,0.28,0.286,"Fava"
"65",NA,"Feb","Fava","SHAM",2,"Pea",3,8,7,39.5,0.16,0.186,"Fava"
"66",NA,"Feb","Fava","SHAM",5,"Pea",3,12,1,37.6,0.24,0.245,"Fava"
"67",NA,"Feb","Fava","SHAM",5,"Pea",4,10,4,41.7,0.2,0.217,"Fava"
"68",NA,"Feb","Fava","SHAM",2,"Pea",4,12,4,37.6,0.24,0.261,"Fava"
"69",NA,"Feb","Fava","SHAM",5,"Pea",5,10,5,21.6,0.2,0.222,"Fava"
"70",NA,"Feb","Fava","SHAM",2,"Pea",5,13,6,48.6,0.26,0.295,"Fava"
"71",NA,"March","Fava","BLRV",3,"Alfalfa",1,15,1,22.5,0.3,0.306,"Fava"
